Part of Confusion Matrix,total,type,evaluation,in-/exclusion,value,count,impacts_recall
Screenable & Screened,25,reasoning,correct,,,13,
Screenable & Screened,25,reasoning,incorrect,,D,6,
Screenable & Screened,25,reasoning,incorrect,,E,3,
Screenable & Screened,25,reasoning,incorrect,,F,3,
Screenable & Screened,25,reasoning,not reasoned,,,0,
Screenable & Screened,25,answer,correct,inclusion,False,0,True
Screenable & Screened,25,answer,correct,inclusion,Unknown,0,
Screenable & Screened,25,answer,correct,inclusion,True,10,
Screenable & Screened,25,answer,correct,exclusion,False,2,
Screenable & Screened,25,answer,correct,exclusion,Unknown,0,
Screenable & Screened,25,answer,correct,exclusion,True,1,True
Screenable & Screened,25,answer,incorrect,inclusion,False,2,True
Screenable & Screened,25,answer,incorrect,inclusion,Unknown,1,
Screenable & Screened,25,answer,incorrect,inclusion,True,2,
Screenable & Screened,25,answer,incorrect,exclusion,False,0,
Screenable & Screened,25,answer,incorrect,exclusion,Unknown,6,
Screenable & Screened,25,answer,incorrect,exclusion,True,1,True
Screenable & Screened,25,answer,not answered,,,0,
Not Screenable but Screened,40,reasoning,correct,,,29,
Not Screenable but Screened,40,reasoning,incorrect,,D,11,
Not Screenable but Screened,40,reasoning,incorrect,,E,0,
Not Screenable but Screened,40,reasoning,incorrect,,F,0,
Not Screenable but Screened,40,reasoning,not reasoned,,,0,
Not Screenable but Screened,40,answer,correct,inclusion,True,0,
Not Screenable but Screened,40,answer,correct,inclusion,False,0,True
Not Screenable but Screened,40,answer,correct,inclusion,Unknown,6,
Not Screenable but Screened,40,answer,correct,exclusion,True,0,True
Not Screenable but Screened,40,answer,correct,exclusion,False,0,
Not Screenable but Screened,40,answer,correct,exclusion,Unknown,23,
Not Screenable but Screened,40,answer,incorrect,inclusion,True,4,
Not Screenable but Screened,40,answer,incorrect,inclusion,False,4,True
Not Screenable but Screened,40,answer,incorrect,inclusion,Unknown,0,
Not Screenable but Screened,40,answer,incorrect,exclusion,True,2,True
Not Screenable but Screened,40,answer,incorrect,exclusion,False,1,
Not Screenable but Screened,40,answer,incorrect,exclusion,Unknown,0,
Not Screenable but Screened,40,answer,not answered,,,0,
Not Screenable & Not Screened,179,reasoning,not reasoned,,,179,
Not Screenable & Not Screened,179,answer,not answered,,,179,
Screenable but Not Screened,8,reasoning,not reasoned,,,8,
Screenable but Not Screened,8,answer,not answered,,,8,
Trial Evaluation TP,5,,,,,,
Trial Evaluation FP,3,,,,,,
Trial Evaluation TN,1,,,,,,
Trial Evaluation FN,0,,,,,,
Trial Evaluation NOT_SCREENED,3,,,,,,
